Database;species;species_tpl;plant.duration;Germination_p;Height_cm;LDMC_mg.g;LeafN.mass_mg.g;Root.diameter_mm;RootN.mass_mg.g;RS.ratio;Seed.mass_mg;SLA_mm2.mg;SRL_m.g;RMF_g.g;Root.depth_cm;Root.tissue.density_g.cm3
Craine2003_Oikos;Phleum pratense;Phleum pratense;perennial;NA;NA;NA;NA;0.22;NA;NA;NA;15.577;NA;NA;NA;0.19
Craine2003_Oikos;Poa pratensis;Poa pratensis;perennial;NA;NA;NA;NA;0.21;NA;NA;NA;6.91;NA;NA;NA;0.1
Craine2003_Oikos;Schizachyrium scoparium;Schizachyrium scoparium;perennial;NA;NA;NA;NA;0.32;NA;NA;NA;14.2;NA;NA;NA;0.22
Craine2003_Oikos;Pennisetum glaucum;Pennisetum glaucum;annual;NA;NA;NA;NA;0.22;NA;NA;NA;19.701;NA;NA;NA;0.18
Craine2003_Oikos;Sorghastrum nutans;Sorghastrum nutans;perennial;NA;NA;NA;NA;0.27;NA;NA;NA;13.06;NA;NA;NA;0.17
Craine2003_Oikos;Sporobolus heterolepis;Sporobolus heterolepis;perennial;NA;NA;NA;NA;0.35;NA;NA;NA;11.927;NA;NA;NA;0.2
Nippert&Donnelly;Aegilops cylindrica;Aegilops cylindrica;annual;NA;32.4;318.5982;20.416;NA;NA;NA;NA;25.8868565;NA;NA;NA;NA
Nippert&Donnelly;Alopecurus carolinianus;Alopecurus carolinianus;annual;NA;21.5;303.2472;26.6428;NA;NA;NA;NA;36.9948052;NA;NA;NA;NA
Nippert&Donnelly;Aristida oligantha;Aristida oligantha;annual;NA;24.2;397.4088;11.1152;NA;NA;NA;NA;15.38073053;NA;NA;NA;NA
Nippert&Donnelly;Bromus japonicus;Bromus japonicus;annual;NA;58.4;239.327;27.48;NA;NA;NA;NA;26.56898049;NA;NA;NA;NA
Nippert&Donnelly;Bromus tectorum;Bromus tectorum;annual;NA;32.75;223.681;24.529;NA;NA;NA;NA;29.32815475;NA;NA;NA;NA
Nippert&Donnelly;Cenchrus longispinus;Cenchrus longispinus;annual;NA;25.6;194.7782;27.12;NA;NA;NA;NA;26.16744275;NA;NA;NA;NA
Nippert&Donnelly;Digitaria ciliaris;Digitaria ciliaris;annual;NA;37.2;237.1014;34.156;NA;NA;NA;NA;25.51107534;NA;NA;NA;NA
Nippert&Donnelly;Digitaria ischaemum;Digitaria ischaemum;annual;NA;15.5;204.267;15.98;NA;NA;NA;NA;42.48213779;NA;NA;NA;NA
Nippert&Donnelly;Digitaria sp.;Digitaria sp.;annual;NA;26.375;240.2095;23.2464;NA;NA;NA;NA;30.54368914;NA;NA;NA;NA
Nippert&Donnelly;Echinochloa crus-galli;Echinochloa crus-galli;annual;NA;45.16666667;211.087;22.35;NA;NA;NA;NA;37.50325659;NA;NA;NA;NA
Nippert&Donnelly;Echinochloa muricata;Echinochloa muricata;annual;NA;68.16666667;263.2575;23.55166667;NA;NA;NA;NA;28.81761469;NA;NA;NA;NA
Nippert&Donnelly;Echinochloa sp.;Echinochloa sp.;annual;NA;37.2;221.446;25.04;NA;NA;NA;NA;25.9605946;NA;NA;NA;NA
Nippert&Donnelly;Eleusine indica;Eleusine indica;annual;NA;26.2;251.6152;27.5562;NA;NA;NA;NA;28.9377191;NA;NA;NA;NA
Nippert&Donnelly;Eragrostis cilianensis;Eragrostis cilianensis;annual;NA;22.4;267.3328;22.04;NA;NA;NA;NA;33.73405802;NA;NA;NA;NA
Nippert&Donnelly;Eragrostis pectinacea;Eragrostis pectinacea;annual;NA;13.5;290.7935;27.9142;NA;NA;NA;NA;39.22222222;NA;NA;NA;NA
Nippert&Donnelly;Eriochloa contracta;Eriochloa contracta;annual;NA;37.66666667;195.6186667;25.9;NA;NA;NA;NA;36.20591958;NA;NA;NA;NA
Nippert&Donnelly;Hordeum pusillum;Hordeum pusillum;annual;NA;25.5;293.8316;25.3788;NA;NA;NA;NA;21.91937279;NA;NA;NA;NA
Nippert&Donnelly;Leptochloa fusca;Leptochloa fusca;annual;NA;18.6;315.6114;26;NA;NA;NA;NA;21.033576;NA;NA;NA;NA
Nippert&Donnelly;Panicum capillare;Panicum capillare;annual;NA;46.6;322.1202;11.76;NA;NA;NA;NA;24.23288508;NA;NA;NA;NA
Nippert&Donnelly;Panicum dichotomiflorum;Panicum dichotomiflorum;annual;NA;51.7;307.537;19.3744;NA;NA;NA;NA;25.17932993;NA;NA;NA;NA
Nippert&Donnelly;Setaria pumila;Setaria pumila;annual;NA;55.9;173.6494;20.0516;NA;NA;NA;NA;29.08522421;NA;NA;NA;NA
Nippert&Donnelly;Setaria viridis;Setaria viridis;annual;NA;42.3;289.2416;21.02;NA;NA;NA;NA;35.02395622;NA;NA;NA;NA
Nippert&Donnelly;Sporobolus vaginiflorus;Sporobolus vaginiflorus;annual;NA;13.6;409.754;10.66;NA;NA;NA;NA;13.16052508;NA;NA;NA;NA
